group_id,item_id,cfu,parte,topic,group_text,labels,item_text,correct,source,explanation
1,1,both,2,formule_tipo,"Considerando Fuffi una costante e x una variabile, associa ciascuna delle seguenti formule alla propria tipologia.",A=tautologia|B=formula ground|C=clausola|D=formula in FOL,Cane(Fuffi) => not Gatto(Fuffi),B,sisint1,"In parole povere: Cane(Fuffi)⇒¬Gatto(Fuffi): tutti i simboli sono costanti (Fuffi). Niente variabili, quindi GROUND. È anche una formula FOL ma il termine più stretto è 'ground'."
1,2,both,2,formule_tipo,"Considerando Fuffi una costante e x una variabile, associa ciascuna delle seguenti formule alla propria tipologia.",A=tautologia|B=formula ground|C=clausola|D=formula in FOL,not Piove or Piove,A,sisint1,In parole povere: ¬P ∨ P è vera in ogni interpretazione (legge del terzo escluso). TAUTOLOGIA.
1,3,both,2,formule_tipo,"Considerando Fuffi una costante e x una variabile, associa ciascuna delle seguenti formule alla propria tipologia.",A=tautologia|B=formula ground|C=clausola|D=formula in FOL,"Blu(x) or Sopra(x,y) and not Sopra(x,z)",D,sisint1,"In parole povere: Contiene variabili (x,y,z) e predicati con argomenti, quindi FORMULA FOL generica (non clausola perché ha sia ∨ sia ∧ a livello esterno, non solo disgiunzione di letterali)."
1,4,both,2,formule_tipo,"Considerando Fuffi una costante e x una variabile, associa ciascuna delle seguenti formule alla propria tipologia.",A=tautologia|B=formula ground|C=clausola|D=formula in FOL,A or not B or C,C,sisint1,"In parole povere: A∨¬B∨C: disgiunzione di letterali (A, ¬B, C). Definizione esatta di CLAUSOLA."
1,5,both,2,formule_tipo,"Considerando Fuffi una costante e x una variabile, associa ciascuna delle seguenti formule alla propria tipologia.",A=tautologia|B=formula ground|C=clausola|D=formula in FOL,not Caldo(x) and Caldo(x),D,sisint1,"In parole povere: ¬Caldo(x)∧Caldo(x): contiene variabile x, quindi è FOL. È anche una contraddizione, ma la tipologia richiesta tra le opzioni è FOL."
2,1,both,2,inferenza_FOL,"Si considerino le formule (x variabile, COST costante): ¬Alfa(x) ∨ Beta(x) ∨ ¬Gamma(x) ; Alfa(COST).",V=vero|F=falso,la formula più lunga è una clausola di Horn,V,sisint1,Un solo letterale positivo (Beta(x)) → di Horn.
2,2,both,2,inferenza_FOL,"Si considerino le formule (x variabile, COST costante): ¬Alfa(x) ∨ Beta(x) ∨ ¬Gamma(x) ; Alfa(COST).",V=vero|F=falso,la formula più lunga è una clausola,V,sisint1,È una disgiunzione di letterali.
2,3,both,2,inferenza_FOL,"Si considerino le formule (x variabile, COST costante): ¬Alfa(x) ∨ Beta(x) ∨ ¬Gamma(x) ; Alfa(COST).",V=vero|F=falso,la risoluzione è applicabile,V,sisint1,Sono clausole con letterali complementari (¬Alfa / Alfa).
2,4,both,2,inferenza_FOL,"Si considerino le formule (x variabile, COST costante): ¬Alfa(x) ∨ Beta(x) ∨ ¬Gamma(x) ; Alfa(COST).",V=vero|F=falso,il modus ponens è direttamente applicabile,F,sisint1,"La regola richiede anche Gamma(COST), che manca."
2,5,both,2,inferenza_FOL,"Si considerino le formule (x variabile, COST costante): ¬Alfa(x) ∨ Beta(x) ∨ ¬Gamma(x) ; Alfa(COST).",V=vero|F=falso,il forward chaining deriva subito Beta(COST),F,sisint1,Serve anche Gamma(COST) tra i fatti.
2,6,both,2,inferenza_FOL,"Si considerino le formule (x variabile, COST costante): ¬Alfa(x) ∨ Beta(x) ∨ ¬Gamma(x) ; Alfa(COST).",V=vero|F=falso,Alfa(COST) è un termine ground,F,sisint1,È una formula atomica; il termine ground è COST.
