id,cfu,parte,topic,question,opt_a,opt_b,opt_c,correct,source,explanation
1,both,1,soluzione,Cos'è una SOLUZIONE nella risoluzione automatica di problemi?,"un percorso, nell'albero o grafo di ricerca, che conduce dal nodo iniziale a un nodo target",un qualsiasi stato dell'albero o grafo di ricerca che rende vero il test obiettivo,un assegnamento di valori alle variabili che definiscono il problema di ricerca,a,sisint1,"Pensa alla soluzione non solo come alla destinazione finale, ma come all'intero viaggio! Nei problemi di ricerca, conta il percorso (le mosse) che fai per arrivare all'obiettivo, non solo l'averlo raggiunto."
2,both,1,ricerca_blind,Un ALGORITMO DI RICERCA è detto BLIND quando:,ha un orizzonte di ricerca limitato,utilizza solo la descrizione del problema per trovare una soluzione,utilizza una funzione euristica che non è ammissibile,b,sisint1,La ricerca 'cieca' si chiama così perché il sistema brancola nel buio: conosce solo le regole base del gioco e non ha nessun 'suggerimento' (euristica) su quale mossa sia migliore delle altre.
3,both,1,euristica,Un'EURISTICA è detta DOMINANTE quando:,restituisce sempre stime per difetto del costo per raggiungere un nodo preferito da quello considerato,rispetta la disuguaglianza triangolare,per qualsiasi stato assume valori maggiori a quelli restituiti da un'altra euristica,c,sisint1,"Un'euristica (una stima) 'domina' un'altra semplicemente se le sue stime sono sempre più alte e vicine al costo reale (senza mai superarlo). Più è alta, meno strade inutili esploreremo!"
4,both,3,matrice_confusione,Soltanto una delle seguenti misure può essere calcolata tramite una MATRICE DI CONFUSIONE; quale?,accuratezza,livello di confidenza,entropia,a,sisint1,"La matrice di confusione è una tabella che riassume gli errori e i successi di un modello. Da lì possiamo calcolare tutti i voti: quanto è accurato, quanti falsi allarmi ha dato, ecc."
5,both,3,supervisionato,Un ALGORITMO DI APPRENDIMENTO è SUPERVISIONATO quando:,il learning set contiene tutte istanze che hanno associata la classe di appartenenza,durante l'apprendimento è monitorato da un supervisore umano,l'apprendimento è guidato dalla misura dell'entropia,a,sisint1,"L'apprendimento è 'supervisionato' quando diamo al computer i dati completi di soluzione. È come dare a uno studente gli esercizi già svolti con la risposta corretta, per insegnargli la regola."
6,both,1,intelligenza,Cosa indica il termine 'artificiale' nell'espressione Intelligenza Artificiale?,che non è naturale,che è limitata rispetto a quella umana,che si applica solo a robot antropomorfi,a,sisint1,L'IA si dice 'artificiale' semplicemente perché è costruita dall'uomo e non biologica. Può essere anche solo un software che gira su un computer normale.
7,both,1,turing_test,Il Test di Turing serve a stabilire:,se un programma sa risolvere problemi matematici,quando un computer può dirsi intelligente,la velocità di calcolo di una macchina,b,sisint1,"Il Test di Turing in parole povere: se parli con qualcuno in chat e non riesci a capire se è un umano o un computer, allora quel computer ha superato il test ed è considerato intelligente."
8,both,1,strong_weak_ai,La WEAK AI si pone l'obiettivo di:,riprodurre fedelmente l'intelligenza umana,trovare modi per risolvere problemi che richiederebbero intelligenza se risolti dagli umani,dimostrare che le macchine pensano come gli umani,b,sisint1,"L'IA 'debole' non significa che sia stupida, ma solo che finge di essere intelligente risolvendo compiti specifici, senza avere una vera coscienza o provare emozioni reali."
9,both,1,strong_weak_ai,La STRONG AI si chiede se:,è possibile riprodurre l'intelligenza umana,è possibile costruire algoritmi efficienti,è possibile usare la logica per ragionare,a,sisint1,"L'IA 'forte' è quella dei film di fantascienza: una macchina che ha una vera e propria coscienza, capisce davvero quello che fa e ha sentimenti."
10,both,1,stanza_cinese,L'esperimento della STANZA CINESE di Searle argomenta che:,produrre l'output atteso non implica comprensione,la comprensione richiede solo un programma corretto,le macchine possono comprendere il cinese,a,sisint1,"L'esperimento della Stanza Cinese dimostra questo: se seguo un manuale di istruzioni per combinare simboli cinesi e dare risposte corrette, non significa che io abbia imparato il cinese. Stessa cosa per i computer!"
11,both,1,captcha,Un CAPTCHA è un esempio di:,Test di Turing classico,Test di Turing inverso,algoritmo di apprendimento,b,sisint1,Il CAPTCHA è il Test di Turing al contrario: è il computer che fa un test a te (es. farti cliccare sui semafori) per capire se sei un umano o un robot.
12,both,1,ambiente,Un ambiente è DETERMINISTICO quando:,lo stato successivo è determinato dallo stato corrente e dall'azione applicata,le percezioni dell'agente sono sempre corrette,non ci sono altri agenti nell'ambiente,a,sisint1,"Deterministico significa 'senza sorprese'. Se in una situazione premo il bottone A, succederà sempre e infallibilmente la cosa X. Nessun fattore casuale."
13,both,1,ambiente,Un ambiente è STOCASTICO quando:,non ci sono percezioni rumorose,applicando più volte la stessa azione in uno stesso stato si possono raggiungere stati diversi,è completamente osservabile,b,sisint1,"Stocastico significa 'con un pizzico di fortuna'. Pensa a un gioco di dadi o a un robot che scivola: fai la stessa mossa, ma il risultato può variare a causa del caso."
14,both,1,ambiente,Un ambiente è EPISODICO quando:,le azioni sono discrete,l'esperienza dell'agente è divisa in episodi atomici,non cambia mentre l'agente pensa,b,sisint1,"In un ambiente episodico, la vita è una serie di test indipendenti. Quello che fai adesso non avrà nessuna conseguenza sulle sfide successive (al contrario degli scacchi, dove ogni mossa pesa sul futuro)."
15,both,1,ambiente,Un ambiente è STATICO quando:,non cambia mentre l'agente 'pensa',cambia continuamente in modo casuale,ha sempre lo stesso stato iniziale,a,sisint1,"Ambiente statico significa che il mondo mette in pausa mentre pensi (come a scacchi). In un ambiente dinamico, invece, il mondo va avanti (come guidare un'auto nel traffico)."
16,both,1,ambiente,Un ambiente è PARZIALMENTE OSSERVABILE quando:,i sensori percepiscono tutti gli aspetti rilevanti,i sensori danno accesso solo a parte dell'informazione rilevante,non ci sono attuatori,b,sisint1,Parzialmente osservabile significa giocare a poker o muoversi nella nebbia: non hai tutte le informazioni sul tavolo a tua disposizione e devi tirare a indovinare.
17,both,1,paradigmi,Un approccio DICHIARATIVO alla programmazione:,descrive il COME risolvere il problema,separa una descrizione del COSA da un programma generale,è specifico di un singolo compito,b,sisint1,"In parole povere: Dichiarativo è quando descrivi COSA è il problema (specifica logica, vincoli). Imperativo/procedurale è quando descrivi COME risolverlo. Il dichiarativo permette di riusare lo stesso motore su problemi diversi cambiando solo la KB."
18,both,1,agente,Un AGENTE è:,un'astrazione che rappresenta un sistema che percepisce l'ambiente tramite sensori e agisce tramite attuatori,una funzione che restituisce sempre la stessa azione,un algoritmo deterministico che non interagisce con l'esterno,a,sisint1,In parole povere: Definizione standard di Russell & Norvig. Agente è quando entità che PERCEPISCE tramite sensori e AGISCE tramite attuatori sull'ambiente. Astrazione cruciale: separa logica/conoscenza dall'implementazione fisica.
19,both,1,autonomia,Un agente AUTONOMO si caratterizza perché:,esegue passi specificati uno a uno,riceve compiti ad alto livello e ragiona su come risolverli,non può imparare,b,sisint1,In parole povere: Autonomo è quando riceve obiettivi ad alto livello e decide autonomamente i passi. Si distingue dall'automazione (riceve istruzioni passo-passo). Autonomia richiede capacità di ragionamento e adattamento.
20,both,1,blocchi,Il MONDO DEI BLOCCHI è un esempio di:,problema reale di IA generativa,toy problem usato per illustrare ricerca e pianificazione,problema NP-completo non risolvibile,b,sisint1,"In parole povere: Mondo dei blocchi è quando problema didattico classico per illustrare planning/ricerca. Non è 'reale' nel senso applicativo; serve a mostrare concetti come stati, azioni, goal, in un dominio semplice e visualizzabile."
21,both,1,problema,Quale tra i seguenti NON fa parte della definizione formale di un problema di ricerca?,stato iniziale e azioni applicabili,test obiettivo e funzione di costo,numero ottimo di iterazioni richieste,c,sisint1,"In parole povere: Formulazione di un problema è quando (S0, Actions, Transition Model, Goal Test, Path Cost). Il numero di iterazioni è una proprietà dell'algoritmo che lo risolve, NON del problema."
22,both,1,bfs,La ricerca in AMPIEZZA (BFS):,espande sempre il nodo più profondo non ancora espanso,espande i nodi per livelli di profondità crescenti,usa una pila (stack) per gestire la frontiera,b,sisint1,"In parole povere: BFS visita per livelli di profondità crescenti, espandendo TUTTI i nodi di profondità d prima di quelli a d+1. Usa coda FIFO. Espansione profonda è quando DFS."
23,both,1,dfs,La ricerca in PROFONDITÀ (DFS):,usa una coda FIFO per la frontiera,espande sempre il nodo più profondo non ancora espanso,è sempre ottima,b,sisint1,In parole povere: DFS espande sempre il nodo più profondo della frontiera. Usa pila LIFO (o ricorsione). Non è ottima: trova soluzione ma non necessariamente la più breve.
24,both,1,dfs,La ricerca in profondità è COMPLETA in generale?,sì sempre,"no, non è completa se esistono cammini infiniti","sì, ma solo in spazi continui",b,sisint1,In parole povere: DFS NON è completa se il branching factor permette cammini infiniti (può perdersi su un ramo infinito senza mai esplorare altri). Lo è solo su grafi finiti senza cicli o con graph-search che tenga traccia dei visitati.
