id,cfu,parte,categoria,front,back,topics,source
1,both,1,Agenti e IA,Intelligenza Artificiale e Test di Turing,"Il termine 'artificiale' indica solo che il sistema è costruito dall'uomo, non naturale/biologico (può essere un semplice software).
Test di Turing: un giudice umano dialoga per iscritto con un interlocutore nascosto; se non distingue la macchina dall'umano, la macchina supera il test. È una verifica comportamentale: non spiega che cosa sia l'intelligenza.
CAPTCHA = Test di Turing INVERSO: è il computer che fa un test a te per capire se sei umano.",intelligenza|turing_test|captcha,sisint1
2,both,1,Agenti e IA,Stanza cinese e Weak vs Strong AI,"Weak AI: costruire sistemi che si COMPORTANO come se fossero intelligenti (obiettivo ingegneristico).
Strong AI: chiedersi se la macchina PENSI davvero, se abbia una mente.
Stanza cinese (Searle): chi è nella stanza risponde correttamente in cinese seguendo regole sintattiche, senza capire il cinese. Argomento CONTRO la Strong AI: manipolare simboli non implica comprensione semantica.",stanza_cinese|strong_weak_ai,sisint1
3,both,1,Agenti e IA,"Agente, autonomia, razionalità","Agente: astrazione di un sistema che PERCEPISCE l'ambiente tramite sensori e AGISCE tramite attuatori.
Autonomo: riceve compiti ad ALTO LIVELLO e ragiona da solo su come risolverli (diverso dall'automazione passo-passo).
Razionale: sceglie l'azione che massimizza l'utilità ATTESA data la sua conoscenza.
Trappola: razionale non significa onnisciente: può sbagliare per informazione incompleta.",agente|autonomia|agente_razionale,sisint1
4,both,1,Agenti e IA,Tipi di agente,"REATTIVO SEMPLICE: regole condizione-azione sulla sola percezione corrente, nessuno stato interno; ha senso solo in ambienti COMPLETAMENTE OSSERVABILI (es. termostato).
BASATO SU MODELLO: mantiene uno stato interno che traccia le parti non osservate del mondo (es. auto con mappa interna).
GOAL-DRIVEN: sceglie le azioni per raggiungere un obiettivo (ricerca/pianificazione).
UTILITY-DRIVEN: massimizza una funzione di utilità, cioè gradi di preferenza fra stati (es. profitto atteso).",reattivo|model_based|goal_driven|utility_driven|agenti_tipo,sisint1
5,both,1,Agenti e IA,Ambienti: classificazione,"Completamente vs parzialmente OSSERVABILE: i sensori vedono tutto lo stato? Scacchi sì, poker no.
DETERMINISTICO vs STOCASTICO: lo stato successivo è fissato da stato+azione? Scacchi deterministici, backgammon stocastico (dadi).
EPISODICO vs sequenziale: ogni decisione è indipendente dalle precedenti? Classificatore di immagini: episodico.
Inoltre: statico/dinamico, discreto/continuo, singolo/multi-agente.
Cause dell'incertezza per un agente: conoscenza imperfetta + osservabilità parziale.",ambiente|ambiente_classific|incertezza,sisint1
6,both,1,Agenti e IA,Approccio dichiarativo vs procedurale,"DICHIARATIVO: separa la descrizione del COSA (conoscenza, vincoli, obiettivi) da un programma generale che la elabora (motore di inferenza). KB + inferenza è l'esempio tipico.
PROCEDURALE/imperativo: prescrivi il COME, passo per passo.",paradigmi,sisint1
7,both,1,Ricerca: problemi e strategie cieche,Problema di ricerca: definizione formale,"Componenti: stato INIZIALE, AZIONI/funzione successore, TEST OBIETTIVO, COSTO di cammino.
Trappola: l'euristica NON fa parte della definizione del problema (riguarda solo la ricerca informata).
Mondo dei blocchi: toy problem classico per illustrare ricerca e pianificazione.",problema|problema_def|blocchi,sisint1
8,both,1,Ricerca: problemi e strategie cieche,Soluzione e soluzione ottima,"Soluzione = CAMMINO nell'albero/grafo di ricerca dal nodo iniziale a un nodo che soddisfa il test obiettivo.
OTTIMA = costo di cammino minimo fra tutte le soluzioni.
Trappole: non è 'lo stato che rende vero il test' (quello è il goal); l'assegnamento di valori a variabili è la soluzione di un CSP, non di un problema di ricerca.",soluzione,sisint1
9,both,1,Ricerca: problemi e strategie cieche,Ricerca blind vs informata,"BLIND (non informata): usa SOLO la definizione del problema, inclusa la caratterizzazione dell'obiettivo (test obiettivo). Nessuna stima della distanza dal goal.
INFORMATA: usa in più un'euristica h(n) che stima il costo dal nodo al goal.
Trappola: anche la blind 'conosce' l'obiettivo (deve riconoscerlo); ciò che le manca è l'euristica.",ricerca_blind|blind_vs_informed,sisint1
10,both,1,Ricerca: problemi e strategie cieche,BFS — ricerca in ampiezza,"Frontiera = coda FIFO: espande prima i nodi meno profondi.
COMPLETA (con branching finito); OTTIMA con costi unitari.
Complessità in tempo E MEMORIA: O(b^d). Il collo di bottiglia pratico è la memoria esponenziale.",bfs|complessita_bfs,sisint1
